item_id,unit_type,group,is_error,error_type,expected_rule,flagged_by,flagged,detected_by_expected_rule,note
AP-001,bill,clean,0,,,,0,0,Ordinary Harbour Cloud Hosting bill
AP-002,bill,clean,0,,,,0,0,Ordinary Harbour Cloud Hosting bill
AP-003,bill,clean,0,,,,0,0,Ordinary Harbour Cloud Hosting bill
AP-004,bill,clean,0,,,,0,0,Ordinary Harbour Cloud Hosting bill
AP-005,bill,clean,0,,,,0,0,Ordinary Harbour Cloud Hosting bill
AP-006,bill,clean,0,,,,0,0,Ordinary Harbour Cloud Hosting bill
AP-007,bill,clean,0,,,,0,0,Ordinary Pixelworks Software bill
AP-008,bill,clean,0,,,,0,0,Ordinary Pixelworks Software bill
AP-009,bill,clean,0,,,,0,0,Ordinary Pixelworks Software bill
AP-010,bill,clean,0,,,,0,0,Ordinary Pixelworks Software bill
AP-011,bill,clean,0,,,,0,0,Ordinary Pixelworks Software bill
AP-012,bill,clean,0,,,,0,0,Ordinary Stationery Direct bill
AP-013,bill,clean,0,,,,0,0,Ordinary Stationery Direct bill
AP-014,bill,clean,0,,,,0,0,Ordinary Stationery Direct bill
AP-015,bill,clean,0,,,,0,0,Ordinary Stationery Direct bill
AP-016,bill,clean,0,,,,0,0,Ordinary Stationery Direct bill
AP-017,bill,clean,0,,,,0,0,Ordinary Office Depot UK bill
AP-018,bill,clean,0,,,,0,0,Ordinary Office Depot UK bill
AP-019,bill,clean,0,,,,0,0,Ordinary Office Depot UK bill
AP-020,bill,clean,0,,,,0,0,Ordinary Office Depot UK bill
AP-021,bill,clean,0,,,,0,0,Ordinary Office Depot UK bill
AP-022,bill,clean,0,,,,0,0,Ordinary Rail Europe Ltd bill
AP-023,bill,clean,0,,,,0,0,Ordinary Rail Europe Ltd bill
AP-024,bill,error,1,VAT_MISCODE,A2,A2,1,1,Rail Europe Ltd is VAT-registered and normally INPUT2; this bill coded NONE (VAT lost)
AP-025,bill,clean,0,,,,0,0,Ordinary Rail Europe Ltd bill
AP-026,bill,clean,0,,,,0,0,Ordinary City Cabs bill
AP-027,bill,clean,0,,,,0,0,Ordinary City Cabs bill
AP-028,bill,clean,0,,,,0,0,Ordinary City Cabs bill
AP-029,bill,clean,0,,,,0,0,Ordinary City Cabs bill
AP-030,bill,clean,0,,,,0,0,Ordinary Skyline Hotels bill
AP-031,bill,clean,0,,,,0,0,Ordinary Skyline Hotels bill
AP-032,bill,clean,0,,,,0,0,Ordinary Skyline Hotels bill
AP-033,bill,clean,0,,,,0,0,Ordinary Skyline Hotels bill
AP-034,bill,clean,0,,,,0,0,Ordinary AdSpark Media bill
AP-035,bill,clean,0,,,,0,0,Ordinary AdSpark Media bill
AP-036,bill,error,1,VAT_MISCODE,A2,A2,1,1,AdSpark Media is VAT-registered and normally INPUT2; this bill coded NONE (VAT lost)
